Metoda,LIVE_SROCC,LIVE_PLCC,CSIQ_SROCC,CSIQ_PLCC,TID2013_SROCC,TID2013_PLCC,KADID_SROCC,KADID_PLCC,CLIVE_SROCC,CLIVE_PLCC,KonIQ_SROCC,KonIQ_PLCC,BID_SROCC,BID_PLCC
BIECON,0.958,0.961,0.815,0.823,0.717,0.762,0.623,0.648,0.613,0.613,0.651,0.654,0.539,0.576
BIQI,0.82,0.821,0.76,0.835,0.349,0.0,0.0,0.0,0.532,0.557,0.0,0.0,0.573,0.598
BLIINDS-II,0.931,0.93,0.9,0.928,0.536,0.0,0.0,0.0,0.463,0.507,0.575,0.584,0.532,0.56
BRISQUE,0.929,0.944,0.812,0.748,0.626,0.571,0.528,0.567,0.629,0.629,0.681,0.685,0.581,0.605
CONTRIQUE,0.969,0.968,0.902,0.927,0.843,0.0,0.0,0.0,0.845,0.857,0.894,0.906,0.0,0.0
CVC-T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872,0.891,0.915,0.941,0.0,0.0
CYCLEIQA,0.97,0.971,0.926,0.928,0.832,0.0,0.0,0.0,0.786,0.794,0.0,0.0,0.0,0.0
DB-CNN,0.968,0.971,0.946,0.959,0.816,0.0,0.0,0.0,0.851,0.869,0.875,0.884,0.845,0.859
DIIVINE,0.892,0.908,0.804,0.776,0.643,0.567,0.413,0.435,0.588,0.591,0.546,0.558,0.61,0.646
FOSD-IQA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905,0.919,0.0,0.0
HFD,0.951,0.971,0.842,0.89,0.764,0.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.882,0.919,0.935,0.872,0.883
HyperIQA,0.962,0.966,0.923,0.942,0.84,0.858,0.852,0.845,0.859,0.882,0.906,0.917,0.869,0.878
ILNIQE,0.902,0.906,0.822,0.865,0.521,0.648,0.534,0.558,0.508,0.508,0.523,0.537,0.0,0.0
MEON,0.951,0.955,0.852,0.864,0.808,0.824,0.604,0.691,0.697,0.71,0.611,0.628,0.0,0.0
MetaIQA,0.96,0.959,0.899,0.908,0.856,0.868,0.762,0.775,0.835,0.802,0.887,0.856,0.0,0.0
P2P-BM,0.959,0.958,0.899,0.902,0.862,0.856,0.84,0.849,0.844,0.842,0.872,0.885,0.0,0.0
PQR,0.965,0.971,0.873,0.901,0.849,0.864,0.0,0.0,0.808,0.836,0.0,0.0,0.0,0.0
RAN4IQA,0.962,0.967,0.911,0.926,0.816,0.0,0.0,0.0,0.591,0.603,0.0,0.0,0.0,0.0
SFA,0.963,0.972,0.0,0.0,0.948,0.0,0.0,0.0,0.812,0.833,0.685,0.764,0.826,0.84
TIQA,0.949,0.965,0.825,0.838,0.846,0.858,0.85,0.855,0.845,0.861,0.892,0.903,0.0,0.0
WaDIQaM,0.96,0.955,0.852,0.844,0.835,0.855,0.739,0.752,0.682,0.671,0.804,0.807,0.0,0.0
TReS,0.969,0.968,0.922,0.942,0.863,0.883,0.859,0.858,0.846,0.877,0.915,0.928,0.0,0.0
TREX,0.972,0.974,0.932,0.945,0.906,0.916,0.908,0.911,0.869,0.895,0.934,0.944,0.875,0.896
