,"mae","srcc","plcc","epoch","path json","path py"
27,8.05734729766846,0.862000644207001,0.873952805995941,149,"Tres_clive_3808081932264751545.json","combineBests_ffn64_effnet4_lr6e-5_freeze80.py"
23,7.91005086898804,0.864347696304321,0.879084944725037,90,"Tres_clive_1637528040544762439.json","combineBests_ffn64_effnet4_lr6e-5.py"
95,7.5399923324585,0.865397930145264,0.881461441516876,20,"Tres_clive_6723545518945452592.json","combineBests_ffn64_effnet4.py"
17,7.20079803466797,0.856508731842041,0.887770235538483,149,"Tres_clive_7012376935555063301.json","combineBests_ffn64.py"
101,7.70370149612427,0.854584813117981,0.883914470672607,110,"Tres_clive_1861156205250360781.json","combineBests.py"
62,7.57767391204834,0.857660412788391,0.882576406002045,140,"Tres_clive_6957888157877495039.json","effnet4_adamw.py"
14,7.78548336029053,0.853736639022827,0.877014636993408,60,"Tres_clive_429383431780174334.json","effnet4_adamw.py"
90,7.63468790054321,0.851657152175903,0.872123718261719,20,"Tres_clive_921337885434813941.json","effnet4_adamw.py"
72,7.59488677978516,0.856578946113586,0.877795219421387,110,"Tres_clive_328935448906181061.json","effnet4_lrs_freeze_adamw_lr4x.py"
2,7.74640226364136,0.85525643825531,0.877421200275421,130,"Tres_clive_901829241896599724.json","effnet4_lrs_freeze_adamw.py"
111,8.00226211547852,0.847232520580292,0.876315116882324,100,"Tres_clive_4466906600756400441.json","lastGood_var1.py"
98,7.88423538208008,0.83857387304306,0.867987453937531,70,"Tres_clive_110343607505666380.json","lastGood_var2_6xTrans_optim4.py"
52,8.10550880432129,0.84860622882843,0.878566980361939,80,"Tres_clive_32155219983325074.json","lastGood_var2_6xTrans.py"
32,7.37354898452759,0.861379265785217,0.891714036464691,149,"Tres_clive_1946451168681309741.json","lastGood_var2_adamw.py"
61,7.51214933395386,0.847941160202026,0.882981777191162,149,"Tres_clive_941038092386876607.json","lastGood_var2_dropout_fc.py"
65,7.39746522903442,0.856401562690735,0.886340200901032,110,"Tres_clive_1606757565798041087.json","lastGood_var2_dropout0.py"
79,8.94667911529541,0.849150717258453,0.880951642990112,30,"Tres_clive_3518814923697554300.json","lastGood_var2_dropout025.py"
107,7.5389518737793,0.855160653591156,0.885187208652496,210,"Tres_clive_2023851322971151436.json","lastGood_var2_e250.py"
9,7.55933094024658,0.857073187828064,0.8860804438591,120,"Tres_clive_8366358709895872874.json","lastGood_var2_ffn49x4.py"
97,7.64830875396729,0.844746947288513,0.868216574192047,110,"Tres_clive_1544541784817801781.json","lastGood_var2_freeze.py"
6,13.6552696228027,0.853483378887177,0.880792438983917,149,"Tres_clive_977556722088017533.json","lastGood_var2_freeze80_dr04.py"
78,7.5640983581543,0.851948380470276,0.880372166633606,140,"Tres_clive_2177276221288296607.json","lastGood_var2_freeze80.py"
60,7.70836448669434,0.849883139133453,0.886525988578796,30,"Tres_clive_5264884503860525156.json","lastGood_var2_hubert.py"
38,7.54313182830811,0.851513922214508,0.884089469909668,60,"Tres_clive_7249776565711568599.json","lastGood_var2_maeXdmrl_w01_a0.py"
45,7.67676734924316,0.849289238452911,0.876373589038849,30,"Tres_clive_2824267789072402905.json","lastGood_var2_maeXdmrl_w1_a0.py"
96,9.76348781585693,0.858652770519257,0.870536148548126,110,"Tres_clive_2406727229371775131.json","lastGood_var2_maeXdmrl_w1_a2_fsort.py"
85,7.47397613525391,0.86098176240921,0.888615190982819,90,"Tres_clive_1411240645485942859.json","lastGood_var2_maeXdmrl_w1_a2.py"
29,7.30906915664673,0.854215741157532,0.887586116790772,100,"Tres_clive_9089965364636657078.json","lastGood_var2_maeXdmrl_w1.py"
8,52.2959976196289,0.858704924583435,0.867690563201904,120,"Tres_clive_2048686115652199739.json","lastGood_var2_maeXdmrl_w1mae0.py"
99,8.83302783966065,0.855834245681763,0.881935477256775,110,"Tres_clive_1560873920463770842.json","lastGood_var2_maeXdmrl_w1mae02.py"
18,7.44112014770508,0.853349626064301,0.8857541680336,90,"Tres_clive_5415820460497430890.json","lastGood_var2_maeXdmrl.py"
82,8.77020359039307,0.840275764465332,0.863067984580994,90,"Tres_clive_375773654767507420.json","lastGood_var2_maeXdtl_w1_dtl1.py"
104,7.42972850799561,0.851483583450317,0.883600115776062,110,"Tres_clive_1116808785334143387.json","lastGood_var2_maeXdtl_w1_v2.py"
55,7.2884407043457,0.859657406806946,0.884880781173706,110,"Tres_clive_1487031744987555609.json","lastGood_var2_maeXdtl_w1.py"
91,7.66776752471924,0.853102028369904,0.882589161396027,30,"Tres_clive_24352892952640335.json","lastGood_var2_merge.py"
11,7.56020498275757,0.850854575634003,0.881048738956451,149,"Tres_clive_6883015414973245233.json","lastGood_var2_mse.py"
57,0.0827528312802315,0.817298650741577,0.844536602497101,30,"Tres_clive_8686452853683473511.json","lastGood_var2_normData.py"
1,7.68363046646118,0.846001088619232,0.874309182167053,90,"Tres_clive_8124955111128391771.json","lastGood_var2_v2.py"
103,7.60934019088745,0.850965559482575,0.883896231651306,90,"Tres_clive_719326035856858053.json","lastGood_var2_v3.py"
10,7.40320491790772,0.857581675052643,0.887375831604004,90,"Tres_clive_1789422817545617379.json","lastGood_var2_v4.py"
21,7.64918947219849,0.848692536354065,0.881226062774658,110,"Tres_clive_776638020563880298.json","lastGood_var2_v5.py"
26,7.89283990859985,0.841725409030914,0.872837722301483,30,"Tres_clive_1299198049389153366.json","lastGood_var2_v6_smalltest_effnetb4.py"
87,7.1801700592041,0.852566957473755,0.884660959243774,149,"Tres_clive_7117294376353700239.json","lastGood_var2.py"
102,8.18198776245117,0.843838095664978,0.87583327293396,140,"Tres_clive_961440725432888441.json","lastGood_var3.py"
54,8.28281879425049,0.842710137367249,0.876484096050263,60,"Tres_clive_2042362318141609257.json","lastGood_var4.py"
74,8.00967979431152,0.844709932804108,0.873711109161377,60,"Tres_clive_2159449086626182332.json","lastGood_var5.py"
33,16.6806411743164,0.846687018871307,0.871024310588837,149,"Tres_clive_907266408935239685.json","org_basicL1Loss.py"
70,17.4750156402588,0.859194457530975,0.889288008213043,280,"Tres_clive_1062855308850142074.json","org_dml_1.py"
67,16.4319324493408,0.855877876281738,0.883680701255798,30,"Tres_clive_439179488273846971.json","org_dml_1.py"
51,19.4651374816895,0.853673100471497,0.872035324573517,220,"Tres_clive_1279261835810350320.json","org_dml_2.py"
42,22.3573513031006,0.841260552406311,0.865648746490479,140,"Tres_clive_302403987053947868.json","org_dml_2.py"
37,18.2515487670898,0.880464911460877,0.915311753749847,150,"Tres_clive_264027169157116988.json","org_dml_3.py"
110,14.4220876693726,0.877229869365692,0.909998595714569,110,"Tres_clive_752651412982040348.json","org_dml_3.py"
113,18.682746887207,0.848245680332184,0.890311777591705,60,"Tres_clive_5124075193848276302.json","org_dml_4.py"
93,15.4947385787964,0.835918486118317,0.886124789714813,40,"Tres_clive_1886272289329716179.json","org_dml_4.py"
84,14.123649597168,0.861266374588013,0.882180511951447,30,"Tres_clive_2133341204384094426.json","org_dml_5.py"
83,17.1088066101074,0.857132971286774,0.885536193847656,100,"Tres_clive_759965838104236765.json","org_dml_5.py"
106,18.4463272094727,0.85723352432251,0.884419918060303,250,"Tres_clive_8452283878293170513.json","org_dtl_1.py"
66,17.0240364074707,0.854999363422394,0.881693780422211,210,"Tres_clive_1636848859738561441.json","org_dtl_1.py"
44,21.2700653076172,0.847021877765656,0.871042191982269,30,"Tres_clive_2703581316532346199.json","org_dtl_1.py"
80,22.159875869751,0.845852136611939,0.865399420261383,220,"Tres_clive_8329236329920644027.json","org_dtl_2.py"
4,20.6563682556152,0.838701009750366,0.86555153131485,60,"Tres_clive_1559489598999830973.json","org_dtl_2.py"
13,17.1792240142822,0.881407856941223,0.911254405975342,110,"Tres_clive_9167171318013592165.json","org_dtl_3.py"
15,17.3875961303711,0.872236013412476,0.908630549907684,110,"Tres_clive_2652544611813020950.json","org_dtl_3.py"
3,18.5345554351807,0.842379033565521,0.888126492500305,30,"Tres_clive_1584188848206135603.json","org_dtl_4.py"
58,14.3895568847656,0.832040309906006,0.884531795978546,40,"Tres_clive_143559983090144652.json","org_dtl_4.py"
68,17.3495616912842,0.856210827827454,0.876224994659424,10,"Tres_clive_457283313535931313.json","org_dtl_5.py"
86,15.8472166061401,0.853476762771606,0.886797547340393,20,"Tres_clive_1336160789089195793.json","org_dtl_5.py"
89,18.4174022674561,0.829489231109619,0.845976710319519,110,"Tres_clive_1567290630424219496.json","org_ed_f_1.py"
105,19.540189743042,0.830347836017609,0.855973422527313,130,"Tres_clive_5914906146965593904.json","org_ed_f_2.py"
112,15.8258647918701,0.856859743595123,0.895427703857422,149,"Tres_clive_2347777805880634537.json","org_ed_f_3.py"
30,17.5644912719727,0.824561834335327,0.869361162185669,90,"Tres_clive_8517024618672440160.json","org_ed_f_4.py"
77,15.1994533538818,0.854922533035278,0.882138967514038,90,"Tres_clive_968825850510628652.json","org_ed_f_5.py"
73,16.550687789917,0.860096633434296,0.87766832113266,230,"Tres_clive_929461763056701491.json","org_effnet_1.py"
108,17.2131786346436,0.847496211528778,0.854456126689911,120,"Tres_clive_822802878082881730.json","org_effnet_1.py"
35,19.5898361206055,0.795046329498291,0.81501978635788,120,"Tres_clive_714982041405601843.json","org_effnet_1.py"
92,16.0661125183105,0.863463521003723,0.882396519184113,290,"Tres_clive_8680866195176616523.json","org_effnet_2.py"
115,17.3020458221436,0.846714496612549,0.863945066928864,140,"Tres_clive_1458972176227548636.json","org_effnet_2.py"
40,21.2728252410889,0.799643695354462,0.822374224662781,110,"Tres_clive_1573846859773705735.json","org_effnet_2.py"
41,17.8379783630371,0.863262414932251,0.904319107532501,250,"Tres_clive_2065802835909680322.json","org_effnet_3.py"
75,18.1008281707764,0.847314119338989,0.897819697856903,130,"Tres_clive_3715148344981471509.json","org_effnet_3.py"
88,16.4758987426758,0.825794160366058,0.864201903343201,120,"Tres_clive_736367861568295226.json","org_effnet_4.py"
43,16.9406814575195,0.852011978626251,0.882360458374023,100,"Tres_clive_1244924195611695112.json","org_effnet_5.py"
47,18.988338470459,0.835622489452362,0.85475492477417,110,"Tres_clive_761952156509068320.json","org_l2poolPaper.py"
114,19.7480525970459,0.837383270263672,0.86816394329071,80,"Tres_clive_96627729541098137.json","org_l2poolPaper2.py"
53,16.0691146850586,0.859897434711456,0.887230098247528,149,"Tres_clive_176758629169885257.json","org_l2poolPaper3.py"
19,16.7604732513428,0.828726530075073,0.872497022151947,149,"Tres_clive_1373553927847024260.json","org_l2poolPaper4.py"
7,16.0265331268311,0.854688227176666,0.883681654930115,100,"Tres_clive_7454055566203373941.json","org_l2poolPaper5.py"
5,19.2952136993408,0.865709066390991,0.882245302200317,120,"Tres_clive_5533553208952190615.json","org_maexdtl_effnet_lr8e5.py"
48,16.9187965393066,0.854782104492188,0.86500608921051,249,"Tres_clive_2162187383209329346.json","org_maexdtl_effnet.py"
12,16.4852313995361,0.853706300258637,0.874046862125397,60,"Tres_clive_807958600108619652.json","org_maexdtl_oml.py"
16,17.2020263671875,0.865820050239563,0.890875697135925,230,"Tres_clive_1223179714270667877.json","org_maexdtl.py"
31,18.8261451721191,0.808355450630188,0.708543837070465,100,"Tres_clive_4672924232761685090.json","org_mape_f_1.py"
24,20.521276473999,0.83454954624176,0.809321045875549,140,"Tres_clive_6411414168086702813.json","org_mape_f_2.py"
39,17.0363368988037,0.843526005744934,0.78724616765976,140,"Tres_clive_1167528150321289661.json","org_mape_f_3.py"
0,17.6758632659912,0.776217818260193,0.708460986614227,149,"Tres_clive_6518646060954713511.json","org_mape_f_4.py"
76,17.7748546600342,0.830507218837738,0.782198905944824,100,"Tres_clive_95912772879425239.json","org_mape_f_5.py"
59,18.2520580291748,0.840849757194519,0.861365616321564,110,"Tres_clive_6222694893954475070.json","org_nb_f_1.py"
94,19.6889381408691,0.840250194072723,0.855872869491577,60,"Tres_clive_6723357161279068945.json","org_nb_f_2.py"
81,17.6009883880615,0.869654655456543,0.898456931114197,149,"Tres_clive_308567719885243119.json","org_nb_f_3.py"
71,17.7464408874512,0.827671587467194,0.869769752025604,80,"Tres_clive_2050540424795009173.json","org_nb_f_4.py"
63,18.1112518310547,0.844402551651001,0.870397508144379,100,"Tres_clive_33091173434441537.json","org_nb_f_5.py"
49,18.554292678833,0.822567701339722,0.841780722141266,110,"Tres_clive_345993373124677137.json","org_normTrans.py"
100,18.8572254180908,0.844729900360107,0.85896372795105,110,"Tres_clive_1049446313320139143.json","org_npe_f_1.py"
69,20.1915950775147,0.832738518714905,0.856458425521851,140,"Tres_clive_4872185955986988335.json","org_npe_f_2.py"
25,16.067310333252,0.876074373722076,0.912889182567596,149,"Tres_clive_644109769722506659.json","org_npe_f_3.py"
56,16.7667922973633,0.826628983020783,0.879054129123688,149,"Tres_clive_172124539464525244.json","org_npe_f_4.py"
22,14.9997129440308,0.856433749198914,0.887002468109131,100,"Tres_clive_773311933224965949.json","org_npe_f_5.py"
20,18.5851669311523,0.815069258213043,0.837738156318665,120,"Tres_clive_1097057684304587611.json","org_ope3.py"
50,19.626558303833,0.858606278896332,0.885294616222382,110,"Tres_clive_7624784527075628535.json","org_sc02.py"
36,13.4676656723022,0.835778117179871,0.853575944900513,110,"Tres_clive_1853586195547644801.json","org.py"
64,18.8485412597656,0.833676755428314,0.856517970561981,110,"Tres_clive_2271708427420431533.json","org.py"
28,17.1380958557129,0.844260275363922,0.877125263214111,100,"Tres_clive_2037013570841312031.json","peel7.py"
109,11.2361965179443,0.849565327167511,0.871496677398682,70,"Tres_clive_800832418729938180.json","test_ffn_1024_dr05_freeze80.py"
34,17.5114936828613,0.632330000400543,0.439701557159424,4,"Tres_clive_986165521375530556.json","testTraining.py"
46,8.44892024993897,0.833159744739533,0.864800751209259,140,"Tres_clive_7148494988687791546.json",
